geneSymbol,score,diseaseName
IRS1,0.907216438728992,type 2 diabetes mellitus
HNF4A,0.7249613703804391,type 2 diabetes mellitus
AKT2,0.720850513710281,type 2 diabetes mellitus
HNF1B,0.6917810392158951,type 2 diabetes mellitus
TCF7L2,0.647658039453105,type 2 diabetes mellitus
MAPK8IP1,0.620283504570094,type 2 diabetes mellitus
CAPN10,0.6160084964624721,type 2 diabetes mellitus
IL6,0.59290594204536,type 2 diabetes mellitus
INSR,0.590225487103891,type 2 diabetes mellitus
SLC2A4,0.551294245808995,type 2 diabetes mellitus
PAX4,0.527304459957209,type 2 diabetes mellitus
HMGA1,0.514585104080097,type 2 diabetes mellitus
ENPP1,0.4852802827189439,type 2 diabetes mellitus
IGF2BP2,0.4810566782336529,type 2 diabetes mellitus
RETN,0.467682021728057,type 2 diabetes mellitus
LEP,0.450563004423745,type 2 diabetes mellitus
LIPC,0.4447069818316149,type 2 diabetes mellitus
HNF1A,0.4443744463029229,type 2 diabetes mellitus
GCGR,0.421770780249635,type 2 diabetes mellitus
GPD2,0.413734590369816,type 2 diabetes mellitus
ADIPOQ,0.410708801829034,type 2 diabetes mellitus
TNF,0.403904692146786,type 2 diabetes mellitus
CDKAL1,0.3887113016261819,type 2 diabetes mellitus
PPARGC1A,0.38751935521358,type 2 diabetes mellitus
NOS3,0.383295750728289,type 2 diabetes mellitus
UCP2,0.38312897567792,type 2 diabetes mellitus
LEPR,0.348598050788214,type 2 diabetes mellitus
IRS2,0.340102299396393,type 2 diabetes mellitus
PPARG,0.340077420854321,type 2 diabetes mellitus
ICAM1,0.3383723079097169,type 2 diabetes mellitus
IFNG,0.336240194505907,type 2 diabetes mellitus
PPP1R3A,0.3313715858557169,type 2 diabetes mellitus
NOS2,0.32678648177562,type 2 diabetes mellitus
HLA-DQB1,0.321227434988613,type 2 diabetes mellitus
EDN1,0.319219239118792,type 2 diabetes mellitus
TNFRSF1A,0.318290730383799,type 2 diabetes mellitus
ATP2A2,0.312522577064729,type 2 diabetes mellitus
EDNRA,0.310850513710281,type 2 diabetes mellitus
CPT1A,0.310283504570094,type 2 diabetes mellitus
EDNRB,0.310283504570094,type 2 diabetes mellitus
CASP12,0.31,type 1 diabetes mellitus
PTPN22,0.303112106568732,type 2 diabetes mellitus
FTO,0.289845319906557,type 2 diabetes mellitus
SLC30A8,0.288994806196276,type 2 diabetes mellitus
KCNQ1,0.285309246785058,type 2 diabetes mellitus
HHEX,0.284458733074777,type 2 diabetes mellitus
WFS1,0.276804109682248,type 2 diabetes mellitus
JAZF1,0.274536073121499,type 2 diabetes mellitus
VEGFA,0.271846721006401,type 2 diabetes mellitus
ADAMTS9,0.266743638744715,type 2 diabetes mellitus
