method,beta,se,pval,or,or_ci_lower,or_ci_upper,n_snp,q_stat,q_pval,intercept,intercept_se,intercept_pval,i_squared,gene,n_instruments
IVW,,0.0,,,,,19.0,,,,,,,INS,19
MR-Egger,,,,,,,19.0,,,,,,0.7107912946294701,INS,19
Weighted Median,-0.0,0.0,,1.0,1.0,1.0,19.0,,,,,,,INS,19
Simple Median,0.0,0.001887003134332025,1.0,1.0,0.9963083049802341,1.0037053741309916,19.0,,,,,,,INS,19
IVW,-0.41071428571428575,0.025975852208525968,0.0,0.663176383501596,0.6302574098115759,0.6978147480499137,10.0,3.6406993277641505e-30,1.0,,,,,PDX1,10
MR-Egger,-0.2653702445652174,,,0.7669219487206795,,,10.0,,,-0.06634256114130435,,,0.0,PDX1,10
Weighted Median,-0.4107142857142857,1.1102230246251565e-16,0.0,0.6631763835015961,0.6631763835015959,0.6631763835015962,10.0,,,,,,,PDX1,10
Simple Median,-0.4107142857142857,1.1102230246251565e-16,0.0,0.6631763835015961,0.6631763835015959,0.6631763835015962,10.0,,,,,,,PDX1,10
IVW,0.1295515371428572,0.001902837254425224,0.0,1.1383177755968987,1.1340802569482105,1.142571127837776,59.0,4.34211284300179e-28,1.0,,,,,MAFA,59
MR-Egger,0.09749252566335556,,,1.1024032017998846,,,59.0,,,0.012186565707919445,,,0.0,MAFA,59
Weighted Median,0.12955153714285716,5.551115123125783e-17,0.0,1.1383177755968987,1.1383177755968985,1.1383177755968987,59.0,,,,,,,MAFA,59
Simple Median,0.12955153714285716,5.551115123125783e-17,0.0,1.1383177755968987,1.1383177755968985,1.1383177755968987,59.0,,,,,,,MAFA,59
IVW,,0.0,,,,,37.0,,,,,,,GCK,37
MR-Egger,,,,,,,37.0,,,,,,1.0,GCK,37
Weighted Median,0.18181818181818182,0.0,0.0,1.1993961020353858,1.1993961020353858,1.1993961020353858,37.0,,,,,,,GCK,37
Simple Median,0.18181818181818182,0.0,0.0,1.1993961020353858,1.1993961020353858,1.1993961020353858,37.0,,,,,,,GCK,37
IVW,-0.1111111111111111,0.007407407407407408,0.0,0.8948393168143698,0.8819414312756196,0.9079258265014719,9.0,6.770847460736376e-30,1.0,,,,,SLC2A2,9
MR-Egger,,,1.0,,,,,,,,,,,SLC2A2,9
Weighted Median,-0.11111111111111112,2.7755575615628914e-17,0.0,0.8948393168143698,0.8948393168143697,0.8948393168143698,9.0,,,,,,,SLC2A2,9
Simple Median,-0.11111111111111112,2.7755575615628914e-17,0.0,0.8948393168143698,0.8948393168143697,0.8948393168143698,9.0,,,,,,,SLC2A2,9
IVW,,0.0,,,,,2.0,,,,,,,HSPA5,2
MR-Egger,,,1.0,,,,,,,,,,,HSPA5,2
Weighted Median,,,1.0,,,,,,,,,,,HSPA5,2
Simple Median,,,1.0,,,,,,,,,,,HSPA5,2
IVW,,0.0,,,,,344.0,,,,,,,TCF7L2,344
MR-Egger,,,,,,,344.0,,,,,,0.0,TCF7L2,344
Weighted Median,0.0,0.0,,1.0,1.0,1.0,344.0,,,,,,,TCF7L2,344
Simple Median,0.0,0.0,,1.0,1.0,1.0,344.0,,,,,,,TCF7L2,344
IVW,,0.0,,,,,20.0,,,,,,,KCNJ11,20
MR-Egger,,,,,,,20.0,,,,,,0.0,KCNJ11,20
Weighted Median,0.0,0.0,,1.0,1.0,1.0,20.0,,,,,,,KCNJ11,20
Simple Median,0.0,0.0,,1.0,1.0,1.0,20.0,,,,,,,KCNJ11,20
IVW,,0.0,,,,,65.0,,,,,,,PPARG,65
MR-Egger,,,,,,,65.0,,,,,,0.0,PPARG,65
Weighted Median,-0.0,0.0,,1.0,1.0,1.0,65.0,,,,,,,PPARG,65
Simple Median,0.0,0.0,,1.0,1.0,1.0,65.0,,,,,,,PPARG,65
IVW,,0.0,,,,,76.0,,,,,,,SLC30A8,76
MR-Egger,,,,,,,76.0,,,,,,0.0,SLC30A8,76
Weighted Median,-0.0,0.0,,1.0,1.0,1.0,76.0,,,,,,,SLC30A8,76
Simple Median,0.0,0.0,,1.0,1.0,1.0,76.0,,,,,,,SLC30A8,76
